source,relation,target
CAPEC-691,maps_to,T1557.003
CAPEC-402,maps_to,T1167
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV2822-T-2
T1685,mitigated_by,Execution Prevention
CAPEC-592,maps_to,T1505.001
T1195.002,mitigated_by,Update Software
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM7122E1S-W-2
T1597,mitigated_by,Pre-compromise
CAPEC-248,maps_to,T1178
CVE-2026-9692,has_weakness,CWE-338
CAPEC-440,maps_to,T1689
CVE-2026-22339,affects,Jobster Marketplace:WPJobster
CVE-2026-54299,affects,withastro:astro
CAPEC-439,maps_to,T1494
CVE-2026-12815,has_weakness,CWE-77
CVE-2026-12219,affects,Yealink:SIP-T46U
CAPEC-519,maps_to,T1601.002
CAPEC-54,maps_to,T1018
CAPEC-583,maps_to,T1599.001
CWE-770,mapped_to,CAPEC-493
CAPEC-652,maps_to,T1081
T1574.010,mitigated_by,User Account Management
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR25VFK-ER1
CVE-2026-39540,has_weakness,CWE-79
CAPEC-235,maps_to,T1053.006
CAPEC-30,maps_to,T1055.014
CVE-2025-55649,has_weakness,CWE-476
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ7121S-W
CAPEC-384,maps_to,T1164
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV9022S-W-2
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV7126S-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZV9020S-W
CAPEC-234,maps_to,T1185
CAPEC-560,maps_to,T1078.002
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG2W-SC1
CVE-2026-39515,affects,StylemixThemes:Motors
CAPEC-21,maps_to,T1499.004
CVE-2026-52703,affects,Ninja Team:FastDup
CAPEC-477,maps_to,T1683
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-HXV2826S-W
CAPEC-153,maps_to,T1548.006
CAPEC-142,maps_to,T1003.005
CVE-2026-53704,has_weakness,CWE-125
CAPEC-522,maps_to,T1219.003
CVE-2025-48643,affects,Google:Android
CAPEC-57,maps_to,T1033
CAPEC-530,maps_to,T1553.003
CAPEC-228,maps_to,T1134.005
CVE-2026-55197,affects,nesquena:hermes-webui
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-JXV6323S-T
T1556,mitigated_by,Password Policies
T1685.002,mitigated_by,User Account Management
CVE-2026-34024,has_weakness,CWE-862
CWE-314,mapped_to,CAPEC-37
CAPEC-561,maps_to,T1685.001
CAPEC-405,maps_to,T1592
CWE-359,mapped_to,CAPEC-464
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP71VGK-E4
CAPEC-215,maps_to,T1499.003
CVE-2026-12822,affects,langflow-ai:langflow
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM2520E8-W
CAPEC-535,maps_to,T1204.001
CVE-2026-48929,has_weakness,CWE-287
CVE-2026-48709,affects,OliveTin:OliveTin
CAPEC-160,maps_to,T1210
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY4023S-W
CAPEC-187,maps_to,T1518.001
CVE-2025-55652,has_weakness,CWE-122
CAPEC-568,maps_to,T1056.003
CVE-2026-11890,affects,Devolutions:Devolutions Server
CAPEC-547,maps_to,T1059.008
T1611,mitigated_by,Application Isolation and Sandboxing
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW3622-W-1
T1546.010,mitigated_by,Execution Prevention
CAPEC-478,maps_to,T1070.001
CVE-2026-35065,affects,Dell:PowerFlex
CAPEC-186,maps_to,T1204.001
T1552.002,mitigated_by,Audit
CVE-2026-48713,affects,i18next:i18next-fs-backend
CAPEC-478,maps_to,T1602
CVE-2026-39441,affects,Naked Cat Plugins (by Webdados):Feed KuantoKusta for WooCommerce – Free
CAPEC-184,maps_to,T1505
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR25VFK-E1
CVE-2026-49057,affects,EyeCix Technologies:JobSearch
CAPEC-624,maps_to,T1078.001
CAPEC-584,maps_to,T1089
CVE-2026-35280,affects,Oracle Corporation:Oracle WebCenter Enterprise Capture
CAPEC-574,maps_to,T1574.010
CAPEC-296,maps_to,T1621
CAPEC-439,maps_to,T1565
CAPEC-522,maps_to,T1204.005
CVE-2026-46979,has_weakness,CWE-284
CAPEC-625,maps_to,T1042
CAPEC-182,maps_to,T1659
CAPEC-30,maps_to,T1038
CAPEC-111,maps_to,T1157
CAPEC-648,maps_to,T1119
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Refrigerators (for Japan) MR-MZ60H
CAPEC-650,maps_to,T1546.004
CWE-284,mapped_to,CAPEC-562
CAPEC-702,maps_to,T1219.003
T1563.002,mitigated_by,Limit Access to Resource Over Network
CVE-2026-46881,affects,Oracle Corporation:JD Edwards EnterpriseOne Tools
CAPEC-654,maps_to,T1212
CAPEC-478,maps_to,T1546.004
CVE-2026-12219,has_weakness,CWE-74
CWE-77,mapped_to,CAPEC-248
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-EF50VGKB-A1
CVE-2026-9679,has_weakness,CWE-93
CVE-2026-48986,affects,mcdope:pam_usb
CWE-489,mapped_to,CAPEC-661
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-EM2226E6-W
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN50VG2W-E1
CAPEC-230,maps_to,T1027.009
CAPEC-681,maps_to,T1210
T1681,mitigated_by,Pre-compromise
CVE-2026-42385,has_weakness,CWE-79
CVE-2026-12528,affects,Red Hat:Red Hat Enterprise Linux 7
